,0
LIN13,True
LIP0,False
LIP1,False
LIP2,False
LIP3,False
LIP4,False
LIP5,False
LIP6,False
LIP7,False
LIP8,False
LIP9,False
LIP10,False
LIP11,False
LIP12,False
LIP13,False
MAC0,False
MAC1,False
MAC2,False
MAC3,False
MAC4,False
MAC5,False
MAC6,False
MAC7,False
MAC8,False
MAC9,False
MAC10,False
MAC11,False
MAC12,False
MAC13,False
MON0,False
MON1,False
MON2,False
MON3,False
MON4,False
MON5,False
MON6,False
MON7,False
MON8,False
MON9,False
MON10,False
MON11,False
MON12,False
MON13,False
NTI0,False
NTI1,False
NTI2,False
NTI3,False
NTI4,False
NTI5,False
NTI6,False
NTI7,False
NTI8,False
NTI9,False
NTI10,False
NTI11,False
NTI12,False
NTI13,False
OTR0,True
OTR1,True
OTR2,True
OTR3,True
OTR4,True
OTR5,True
OTR6,True
OTR7,True
OTR8,True
OTR9,True
OTR10,True
OTR11,True
OTR12,True
OTR13,True
OXA0,False
OXA1,False
OXA2,False
OXA3,False
OXA4,False
OXA5,False
OXA6,False
OXA7,False
OXA8,False
OXA9,False
OXA10,False
OXA11,False
OXA12,False
OXA13,False
PAP0,False
PAP1,False
PAP2,False
PAP3,False
PAP4,False
PAP5,False
PAP6,False
PAP7,False
PAP8,False
PAP9,False
PAP10,False
PAP11,False
PAP12,False
PAP13,False
PEN0,True
PEN1,True
PEN2,True
PEN3,True
PEN4,True
PEN5,True
PEN6,True
PEN7,True
PEN8,True
PEN9,True
PEN10,True
PEN11,True
PEN12,True
PEN13,True
POL0,False
POL1,False
POL2,False
POL3,False
POL4,False
POL5,False
POL6,False
POL7,False
POL8,False
POL9,False
POL10,False
POL11,False
POL12,False
POL13,False
QUI0,False
QUI1,False
QUI2,False
QUI3,False
QUI4,False
QUI5,False
QUI6,False
QUI7,False
QUI8,False
QUI9,False
QUI10,False
QUI11,False
QUI12,False
QUI13,False
SUL0,False
SUL1,False
SUL2,False
SUL3,False
SUL4,False
SUL5,False
SUL6,False
SUL7,False
SUL8,False
SUL9,False
SUL10,False
SUL11,False
SUL12,False
SUL13,False
TTC0,True
TTC1,True
TTC2,True
TTC3,True
TTC4,True
TTC5,True
TTC6,True
TTC7,True
TTC8,True
TTC9,True
TTC10,True
TTC11,True
TTC12,True
TTC13,True
pc_acinet0,False
pc_acinet1,False
pc_acinet2,False
pc_acinet3,False
pc_acinet4,False
pc_acinet5,False
pc_acinet6,False
pc_acinet7,False
pc_acinet8,False
pc_acinet9,False
pc_acinet10,False
pc_acinet11,False
pc_acinet12,False
pc_acinet13,False
pc_enterob0,False
pc_enterob1,False
pc_enterob2,False
pc_enterob3,False
pc_enterob4,False
pc_enterob5,False
pc_enterob6,False
pc_enterob7,False
pc_enterob8,False
pc_enterob9,False
pc_enterob10,False
pc_enterob11,False
pc_enterob12,False
pc_enterob13,False
pc_enteroc0,True
pc_enteroc1,True
pc_enteroc2,True
pc_enteroc3,True
pc_enteroc4,True
pc_enteroc5,True
pc_enteroc6,True
pc_enteroc7,True
pc_enteroc8,True
pc_enteroc9,True
pc_enteroc10,True
pc_enteroc11,True
pc_enteroc12,True
pc_enteroc13,True
pc_pseud0,False
pc_pseud1,False
pc_pseud2,False
pc_pseud3,False
pc_pseud4,False
pc_pseud5,False
pc_pseud6,False
pc_pseud7,False
pc_pseud8,False
pc_pseud9,False
pc_pseud10,False
pc_pseud11,False
pc_pseud12,False
pc_pseud13,False
pc_staph0,False
pc_staph1,False
pc_staph2,False
pc_staph3,False
pc_staph4,False
pc_staph5,False
pc_staph6,False
pc_staph7,False
pc_staph8,False
pc_staph9,False
pc_staph10,False
pc_staph11,False
pc_staph12,False
pc_staph13,False
pc_stenot0,False
pc_stenot1,False
pc_stenot2,False
pc_stenot3,False
pc_stenot4,False
pc_stenot5,False
pc_stenot6,False
pc_stenot7,False
pc_stenot8,False
pc_stenot9,False
pc_stenot10,False
pc_stenot11,False
pc_stenot12,False
pc_stenot13,False
pc_no_germ0,False
pc_no_germ1,False
pc_no_germ2,False
pc_no_germ3,False
pc_no_germ4,False
pc_no_germ5,False
pc_no_germ6,False
pc_no_germ7,False
pc_no_germ8,False
pc_no_germ9,False
pc_no_germ10,False
pc_no_germ11,False
pc_no_germ12,False
pc_no_germ13,False
isVM0,True
isVM1,True
isVM2,True
isVM3,True
isVM4,True
isVM5,True
isVM6,True
isVM7,True
isVM8,True
isVM9,True
isVM10,True
isVM11,True
isVM12,True
isVM13,True
numberOfPatients0,False
numberOfPatients1,False
numberOfPatients2,False
numberOfPatients3,False
numberOfPatients4,False
numberOfPatients5,False
numberOfPatients6,False
numberOfPatients7,False
numberOfPatients8,False
numberOfPatients9,False
numberOfPatients10,False
numberOfPatients11,False
numberOfPatients12,False
numberOfPatients13,False
numberOfPatientsMR0,False
numberOfPatientsMR1,False
numberOfPatientsMR2,False
numberOfPatientsMR3,False
numberOfPatientsMR4,False
numberOfPatientsMR5,False
numberOfPatientsMR6,False
numberOfPatientsMR7,False
numberOfPatientsMR8,False
numberOfPatientsMR9,False
numberOfPatientsMR10,False
numberOfPatientsMR11,False
numberOfPatientsMR12,False
numberOfPatientsMR13,False
neighbor_AMG0,False
neighbor_AMG1,False
neighbor_AMG2,False
neighbor_AMG3,False
neighbor_AMG4,False
neighbor_AMG5,False
neighbor_AMG6,False
neighbor_AMG7,False
neighbor_AMG8,False
neighbor_AMG9,False
neighbor_AMG10,False
neighbor_AMG11,False
neighbor_AMG12,False
neighbor_AMG13,False
neighbor_ATF0,False
neighbor_ATF1,False
neighbor_ATF2,False
neighbor_ATF3,False
neighbor_ATF4,False
neighbor_ATF5,False
neighbor_ATF6,False
neighbor_ATF7,False
neighbor_ATF8,False
neighbor_ATF9,False
neighbor_ATF10,False
neighbor_ATF11,False
neighbor_ATF12,False
neighbor_ATF13,False
neighbor_CAR0,True
neighbor_CAR1,True
neighbor_CAR2,True
neighbor_CAR3,True
neighbor_CAR4,True
neighbor_CAR5,True
neighbor_CAR6,True
neighbor_CAR7,True
neighbor_CAR8,True
neighbor_CAR9,True
neighbor_CAR10,True
neighbor_CAR11,True
neighbor_CAR12,True
neighbor_CAR13,True
neighbor_CF10,False
neighbor_CF11,False
neighbor_CF12,False
neighbor_CF13,False
neighbor_CF14,False
neighbor_CF15,False
neighbor_CF16,False
neighbor_CF17,False
neighbor_CF18,False
neighbor_CF19,False
neighbor_CF110,False
neighbor_CF111,False
neighbor_CF112,False
neighbor_CF113,False
neighbor_CF20,False
neighbor_CF21,False
neighbor_CF22,False
neighbor_CF23,False
neighbor_CF24,False
neighbor_CF25,False
neighbor_CF26,False
neighbor_CF27,False
neighbor_CF28,False
neighbor_CF29,False
neighbor_CF210,False
neighbor_CF211,False
neighbor_CF212,False
neighbor_CF213,False
neighbor_CF30,False
neighbor_CF31,False
neighbor_CF32,False
neighbor_CF33,False
neighbor_CF34,False
neighbor_CF35,False
neighbor_CF36,False
neighbor_CF37,False
neighbor_CF38,False
neighbor_CF39,False
neighbor_CF310,False
neighbor_CF311,False
neighbor_CF312,False
neighbor_CF313,False
neighbor_CF40,True
neighbor_CF41,True
neighbor_CF42,True
neighbor_CF43,True
neighbor_CF44,True
neighbor_CF45,True
neighbor_CF46,True
neighbor_CF47,True
neighbor_CF48,True
neighbor_CF49,True
neighbor_CF410,True
neighbor_CF411,True
neighbor_CF412,True
neighbor_CF413,True
neighbor_Falta0,False
neighbor_Falta1,False
neighbor_Falta2,False
neighbor_Falta3,False
neighbor_Falta4,False
neighbor_Falta5,False
neighbor_Falta6,False
neighbor_Falta7,False
neighbor_Falta8,False
neighbor_Falta9,False
neighbor_Falta10,False
neighbor_Falta11,False
neighbor_Falta12,False
neighbor_Falta13,False
neighbor_GCC0,False
neighbor_GCC1,False
neighbor_GCC2,False
neighbor_GCC3,False
neighbor_GCC4,False
neighbor_GCC5,False
neighbor_GCC6,False
neighbor_GCC7,False
neighbor_GCC8,False
neighbor_GCC9,False
neighbor_GCC10,False
neighbor_GCC11,False
neighbor_GCC12,False
neighbor_GCC13,False
neighbor_GLI0,True
neighbor_GLI1,True
neighbor_GLI2,True
neighbor_GLI3,True
neighbor_GLI4,True
neighbor_GLI5,True
neighbor_GLI6,True
neighbor_GLI7,True
neighbor_GLI8,True
neighbor_GLI9,True
neighbor_GLI10,True
neighbor_GLI11,True
neighbor_GLI12,True
neighbor_GLI13,True
neighbor_LIN0,False
neighbor_LIN1,False
neighbor_LIN2,False
neighbor_LIN3,False
neighbor_LIN4,False
neighbor_LIN5,False
neighbor_LIN6,False
neighbor_LIN7,False
neighbor_LIN8,False
neighbor_LIN9,False
neighbor_LIN10,False
neighbor_LIN11,False
neighbor_LIN12,False
neighbor_LIN13,False
neighbor_LIP0,False
neighbor_LIP1,False
neighbor_LIP2,False
neighbor_LIP3,False
neighbor_LIP4,False
neighbor_LIP5,False
neighbor_LIP6,False
neighbor_LIP7,False
neighbor_LIP8,False
neighbor_LIP9,False
neighbor_LIP10,False
neighbor_LIP11,False
neighbor_LIP12,False
neighbor_LIP13,False
neighbor_MAC0,True
neighbor_MAC1,True
neighbor_MAC2,True
neighbor_MAC3,True
neighbor_MAC4,True
neighbor_MAC5,True
neighbor_MAC6,True
neighbor_MAC7,True
neighbor_MAC8,True
neighbor_MAC9,True
neighbor_MAC10,True
neighbor_MAC11,True
neighbor_MAC12,True
neighbor_MAC13,True
neighbor_MON0,False
neighbor_MON1,False
neighbor_MON2,False
neighbor_MON3,False
neighbor_MON4,False
neighbor_MON5,False
neighbor_MON6,False
neighbor_MON7,False
neighbor_MON8,False
neighbor_MON9,False
neighbor_MON10,False
neighbor_MON11,False
neighbor_MON12,False
neighbor_MON13,False
neighbor_NTI0,False
neighbor_NTI1,False
neighbor_NTI2,False
neighbor_NTI3,False
neighbor_NTI4,False
neighbor_NTI5,False
neighbor_NTI6,False
neighbor_NTI7,False
neighbor_NTI8,False
neighbor_NTI9,False
neighbor_NTI10,False
neighbor_NTI11,False
neighbor_NTI12,False
neighbor_NTI13,False
neighbor_OTR0,False
neighbor_OTR1,False
neighbor_OTR2,False
neighbor_OTR3,False
neighbor_OTR4,False
neighbor_OTR5,False
neighbor_OTR6,False
neighbor_OTR7,False
neighbor_OTR8,False
neighbor_OTR9,False
neighbor_OTR10,False
neighbor_OTR11,False
neighbor_OTR12,False
neighbor_OTR13,False
neighbor_OXA0,False
neighbor_OXA1,False
neighbor_OXA2,False
neighbor_OXA3,False
neighbor_OXA4,False
neighbor_OXA5,False
neighbor_OXA6,False
neighbor_OXA7,False
neighbor_OXA8,False
neighbor_OXA9,False
neighbor_OXA10,False
neighbor_OXA11,False
neighbor_OXA12,False
neighbor_OXA13,False
neighbor_PAP0,True
neighbor_PAP1,True
neighbor_PAP2,True
neighbor_PAP3,True
neighbor_PAP4,True
neighbor_PAP5,True
neighbor_PAP6,True
neighbor_PAP7,True
neighbor_PAP8,True
neighbor_PAP9,True
neighbor_PAP10,True
neighbor_PAP11,True
neighbor_PAP12,True
neighbor_PAP13,True
neighbor_PEN0,False
neighbor_PEN1,False
neighbor_PEN2,False
neighbor_PEN3,False
neighbor_PEN4,False
neighbor_PEN5,False
neighbor_PEN6,False
neighbor_PEN7,False
neighbor_PEN8,False
neighbor_PEN9,False
neighbor_PEN10,False
neighbor_PEN11,False
neighbor_PEN12,False
neighbor_PEN13,False
neighbor_POL0,False
neighbor_POL1,False
neighbor_POL2,False
neighbor_POL3,False
neighbor_POL4,False
neighbor_POL5,False
neighbor_POL6,False
neighbor_POL7,False
neighbor_POL8,False
neighbor_POL9,False
neighbor_POL10,False
neighbor_POL11,False
neighbor_POL12,False
neighbor_POL13,False
neighbor_QUI0,True
neighbor_QUI1,True
neighbor_QUI2,True
neighbor_QUI3,True
neighbor_QUI4,True
neighbor_QUI5,True
neighbor_QUI6,True
neighbor_QUI7,True
neighbor_QUI8,True
neighbor_QUI9,True
neighbor_QUI10,True
neighbor_QUI11,True
neighbor_QUI12,True
neighbor_QUI13,True
neighbor_SUL0,False
neighbor_SUL1,False
neighbor_SUL2,False
neighbor_SUL3,False
neighbor_SUL4,False
neighbor_SUL5,False
neighbor_SUL6,False
neighbor_SUL7,False
neighbor_SUL8,False
neighbor_SUL9,False
neighbor_SUL10,False
neighbor_SUL11,False
neighbor_SUL12,False
neighbor_SUL13,False
neighbor_TTC0,False
neighbor_TTC1,False
neighbor_TTC2,False
neighbor_TTC3,False
neighbor_TTC4,False
neighbor_TTC5,False
neighbor_TTC6,False
neighbor_TTC7,False
neighbor_TTC8,False
neighbor_TTC9,False
neighbor_TTC10,False
neighbor_TTC11,False
neighbor_TTC12,False
neighbor_TTC13,False
